function_id,function_type,a,b,c,d,output
p1_f1,constant,0,0,0,0,1
p1_f1,constant,0,0,0,1,1
p1_f1,constant,0,0,1,0,1
p1_f1,constant,0,0,1,1,1
p1_f1,constant,0,1,0,0,1
p1_f1,constant,0,1,0,1,1
p1_f1,constant,0,1,1,0,1
p1_f1,constant,0,1,1,1,1
p1_f1,constant,1,0,0,0,1
p1_f1,constant,1,0,0,1,1
p1_f1,constant,1,0,1,0,1
p1_f1,constant,1,0,1,1,1
p1_f1,constant,1,1,0,0,1
p1_f1,constant,1,1,0,1,1
p1_f1,constant,1,1,1,0,1
p1_f1,constant,1,1,1,1,1
p1_f2,balanced,0,0,0,0,1
p1_f2,balanced,0,0,0,1,1
p1_f2,balanced,0,0,1,0,1
p1_f2,balanced,0,0,1,1,1
p1_f2,balanced,0,1,0,0,0
p1_f2,balanced,0,1,0,1,1
p1_f2,balanced,0,1,1,0,0
p1_f2,balanced,0,1,1,1,0
p1_f2,balanced,1,0,0,0,1
p1_f2,balanced,1,0,0,1,0
p1_f2,balanced,1,0,1,0,0
p1_f2,balanced,1,0,1,1,0
p1_f2,balanced,1,1,0,0,1
p1_f2,balanced,1,1,0,1,0
p1_f2,balanced,1,1,1,0,1
p1_f2,balanced,1,1,1,1,0
p1_f3,constant,0,0,0,0,0
p1_f3,constant,0,0,0,1,0
p1_f3,constant,0,0,1,0,0
p1_f3,constant,0,0,1,1,0
p1_f3,constant,0,1,0,0,0
p1_f3,constant,0,1,0,1,0
p1_f3,constant,0,1,1,0,0
p1_f3,constant,0,1,1,1,0
p1_f3,constant,1,0,0,0,0
p1_f3,constant,1,0,0,1,0
p1_f3,constant,1,0,1,0,0
p1_f3,constant,1,0,1,1,0
p1_f3,constant,1,1,0,0,0
p1_f3,constant,1,1,0,1,0
p1_f3,constant,1,1,1,0,0
p1_f3,constant,1,1,1,1,0
p1_f4,constant,0,0,0,0,1
p1_f4,constant,0,0,0,1,1
p1_f4,constant,0,0,1,0,1
p1_f4,constant,0,0,1,1,1
p1_f4,constant,0,1,0,0,1
p1_f4,constant,0,1,0,1,1
p1_f4,constant,0,1,1,0,1
p1_f4,constant,0,1,1,1,1
p1_f4,constant,1,0,0,0,1
p1_f4,constant,1,0,0,1,1
p1_f4,constant,1,0,1,0,1
p1_f4,constant,1,0,1,1,1
p1_f4,constant,1,1,0,0,1
p1_f4,constant,1,1,0,1,1
p1_f4,constant,1,1,1,0,1
p1_f4,constant,1,1,1,1,1
p1_f5,constant,0,0,0,0,1
p1_f5,constant,0,0,0,1,1
p1_f5,constant,0,0,1,0,1
p1_f5,constant,0,0,1,1,1
p1_f5,constant,0,1,0,0,1
p1_f5,constant,0,1,0,1,1
p1_f5,constant,0,1,1,0,1
p1_f5,constant,0,1,1,1,1
p1_f5,constant,1,0,0,0,1
p1_f5,constant,1,0,0,1,1
p1_f5,constant,1,0,1,0,1
p1_f5,constant,1,0,1,1,1
p1_f5,constant,1,1,0,0,1
p1_f5,constant,1,1,0,1,1
p1_f5,constant,1,1,1,0,1
p1_f5,constant,1,1,1,1,1
